BG13816	BA_2712
BG11096	BA_2146
BG11097	BA_2145
BG13270	BA_2948
BG10850	BA_1171
BG12048	BA_0673
BG10465	BA_1141
BG10618	BA_1230
BG12043	BA_0325
BG12041	BA_3039
BG12046	BA_1912
BG12149	BA_4868
BG12044	BA_0327
BG12045	BA_1913
BG12688	BA_1612
BG12689	BA_1613
BG11791	BA_2046
BG11790	BA_2761
BG12767	BA_0399
BG11796	BA_4031
BG11795	BA_4033
BG11066	BA_4969
BG12680	BA_3974
BG12681	BA_3973
BG11144	BA_0393
BG12768	BA_0400
BG11414	BA_4411
BG11415	BA_4410
BG12686	BA_4647
BG12687	BA_3979
BG11704	BA_4426
BG11705	BA_4425
BG11706	BA_4424
BG11707	BA_4423
BG11700	BA_4432
BG13494	BA_2657
BG11702	BA_4428
BG11703	BA_1992
BG11464	BA_5711
BG13495	BA_4862
BG11461	BA_5714
BG11709	BA_4407
BG11463	BA_5712
BG12591	BA_5415
BG13968	BA_5156
BG13969	BA_3613
BG13869	BA_5043
BG10759	BA_0121
BG13960	BA_4807
BG13961	BA_2916
BG13966	BA_0596
BG13967	BA_5157
BG13964	BA_2290
BG10123	BA_0057
BG10122	BA_0056
BG10121	BA_0055
BG10120	BA_0054
BG10127	BA_0061
BG10126	BA_0060
BG10125	BA_0059
BG10124	BA_0058
BG14058	BA_2239
BG14077	BA_2088
BG10617	BA_1228
BG10101	BA_0036
BG10100	BA_0034
BG10167	BA_3870
BG12402	BA_5382
BG13437	BA_4112
BG10102	BA_0037
BG10165	BA_3871
BG12552	BA_3349
BG14118	BA_4739
BG14014	BA_5221
BG12879	BA_3611
BG12878	BA_0766
BG12877	BA_3469
BG12876	BA_0617
BG14110	BA_5414
BG14111	BA_5412
BG14116	BA_1646
BG12871	BA_3221
BG10009	BA_5718
BG13309	BA_1351
BG11231	BA_3097
BG13427	BA_3923
BG11234	BA_2238
BG11235	BA_2020
BG11236	BA_4756
BG11238	BA_0551
BG11239	BA_5586
BG11332	BA_4311
BG10950	BA_0252
BG11337	BA_4529
BG14078	BA_4962
BG11462	BA_5713
BG12697	BA_5395
BG10070	BA_0005
BG14143	BA_4597
BG13462	BA_2460
BG12321	BA_1308
BG13093	BA_1147
BG12910	BA_0334
BG12911	BA_0426
BG13521	BA_0796
BG14019	BA_4966
BG12916	BA_0422
BG12917	BA_1729
BG12918	BA_0421
BG12392	BA_5705
BG10003	BA_3878
BG12401	BA_5383
BG10958	BA_4802
BG14163	BA_5531
BG10238	BA_1675
BG13300	BA_1394
BG13461	BA_2547
BG14119	BA_5393
BG10231	BA_4046
BG13301	BA_4194
BG10237	BA_1674
BG14161	BA_5612
BG10235	BA_4043
BG11884	BA_5646
BG12257	BA_1744
BG12524	BA_2780
BG12999	BA_0875
BG10687	BA_5108
BG10294	BA_2953
BG12253	BA_4003
BG12251	BA_1663
BG12050	BA_3473
BG12885	BA_0520
BG13423	BA_3928
BG12399	BA_5385
BG13232	BA_2850
BG14168	BA_0388
BG13283	BA_4256
BG13230	BA_5684
BG14085	BA_5370
BG12099	BA_4134
BG10086	BA_0022
BG13231	BA_1384
BG12404	BA_2152
BG10261	BA_1713
BG13422	BA_3933
BG13236	BA_3427
BG11418	BA_1467
BG13314	BA_1361
BG11604	BA_1595
BG12696	BA_4608
BG12098	BA_0257
BG10057	BA_5731
BG10056	BA_1244
BG10055	BA_5730
BG10054	BA_5729
BG10358	BA_4823
BG10359	BA_4822
BG12322	BA_3011
BG10354	BA_4751
BG10355	BA_4724
BG10356	BA_4716
BG10357	BA_4715
BG10350	BA_1811
BG10351	BA_4755
BG10352	BA_4754
BG10353	BA_4753
BG11128	BA_2603
BG12076	BA_1922
BG13239	BA_4699
BG12842	BA_5686
BG12779	BA_3873
BG12070	BA_2385
BG11784	BA_5324
BG12777	BA_2242
BG11780	BA_2411
BG12771	BA_0403
BG12772	BA_0404
BG12773	BA_5668
BG12675	BA_3963
BG12674	BA_1140
BG11179	BA_4235
BG12676	BA_1489
BG11077	BA_4703
BG12673	BA_3321
BG12672	BA_4641
BG11412	BA_4413
BG11172	BA_5640
BG11078	BA_0115
BG11170	BA_4770
BG12679	BA_3612
BG11176	BA_2753
BG11175	BA_2243
BG12781	BA_2002
BG11770	BA_0775
BG12843	BA_0323
BG12782	BA_1727
BG11775	BA_0778
BG11774	BA_0777
BG11777	BA_0315
BG11776	BA_0781
BG12788	BA_3814
BG11474	BA_5708
BG11472	BA_2931
BG13956	BA_1409
BG13951	BA_1403
BG13950	BA_3410
BG11930	BA_1440
BG13959	BA_3602
BG13823	BA_4829
BG13822	BA_3179
BG13418	BA_3908
BG13419	BA_3226
BG13827	BA_4899
BG13826	BA_5308
BG13825	BA_3447
BG13824	BA_4828
BG13413	BA_3465
BG13410	BA_3958
BG12553	BA_3348
BG13416	BA_3842
BG12555	BA_0869
BG13415	BA_0626
BG13553	BA_2647
BG12413	BA_5294
BG13550	BA_4099
BG12415	BA_4230
BG11670	BA_1410
BG11671	BA_4502
BG11672	BA_4501
BG13558	BA_3525
BG11674	BA_4500
BG11675	BA_2058
BG11676	BA_4499
BG13224	BA_1178
BG10608	BA_5641
BG12157	BA_1302
BG11609	BA_1626
BG11608	BA_1623
BG12153	BA_3103
BG11605	BA_1598
BG10603	BA_5648
BG11606	BA_1606
BG12158	BA_1856
BG10607	BA_5642
BG10604	BA_1296
BG10605	BA_5643
BG13386	BA_4009
BG13788	BA_4624
BG13789	BA_4622
BG13228	BA_1015
BG13781	BA_4659
BG13786	BA_4644
BG13787	BA_4625
BG13784	BA_0638
BG13785	BA_4646
BG11328	BA_3853
BG11329	BA_2310
BG11038	BA_1251
BG11322	BA_2348
BG11323	BA_2349
BG11320	BA_5588
BG12816	BA_3341
BG12811	BA_0270
BG11327	BA_1546
BG12812	BA_1259
BG13800	BA_4602
BG10421	BA_2388
BG13468	BA_1726
BG13380	BA_1445
BG11741	BA_2557
BG12311	BA_5690
BG19003	BA_5125
BG12096	BA_0255
BG19007	BA_0144
BG19006	BA_0106
BG19005	BA_0116
BG19004	BA_3965
BG19009	BA_0105
BG19008	BA_0109
BG12992	BA_4744
BG10428	BA_1069
BG12600	BA_1430
BG12091	BA_0253
BG12974	BA_1830
BG12603	BA_1430.1
BG11494	BA_0147
BG12605	BA_4633
BG11496	BA_1541
BG11497	BA_1542
BG11498	BA_1543
BG11499	BA_1548
BG13277	BA_3702
BG11254	BA_2794
BG11252	BA_3719
BG12845	BA_0395
BG11251	BA_3726
BG11395	BA_4542
BG12558	BA_2776
BG11391	BA_5630
BG12090	BA_0251
BG10952	BA_1574
BG10953	BA_1573
BG10819	BA_5549
BG10818	BA_5550
BG10956	BA_1570
BG10957	BA_1569
BG10954	BA_1572
BG10955	BA_1571
BG10813	BA_4888
BG10812	BA_4889
BG10811	BA_0530
BG11633	BA_3737
BG10817	BA_5551
BG10816	BA_5552
BG10815	BA_5553
BG10814	BA_5554
BG11120	BA_2514
BG12298	BA_2951
BG14184	BA_4615
BG12617	BA_3843
BG14187	BA_2558
BG11486	BA_0640
BG11731	BA_4372
BG11485	BA_0639
BG14053	BA_5185
BG11639	BA_4557
BG12966	BA_5620
BG14039	BA_5199
BG11483	BA_0284
BG12092	BA_0254
BG10571	BA_0376
BG12996	BA_5287
BG12611	BA_5391
BG10329	BA_4681
BG10328	BA_4682
BG11070	BA_2313
BG10043	BA_3402
BG10044	BA_3399
BG10046	BA_3868
BG10047	BA_5721
BG10321	BA_4690
BG10049	BA_5723
BG10323	BA_1318
BG10322	BA_4689
BG10325	BA_4685
BG10324	BA_4686
BG10327	BA_4683
BG10326	BA_4684
BG10036	BA_1037
BG10031	BA_2792
BG10030	BA_3263
BG10033	BA_3185
BG10032	BA_3262
BG10471	BA_0866
BG14051	BA_5172
BG10039	BA_3061
BG11951	BA_2153
BG10048	BA_5722
BG12619	BA_4971
BG10510	BA_1438
BG13045	BA_5472
BG11488	BA_0642
BG13044	BA_4345
BG10848	BA_2039
BG13128	BA_1185
BG11852	BA_3587
BG13129	BA_1186
BG14127	BA_5390
BG14126	BA_0533
BG14125	BA_5392
BG14124	BA_4272
BG10138	BA_0069
BG14049	BA_5169
BG11022	BA_5651
BG13048	BA_1826
BG10134	BA_0066
BG14045	BA_5186
BG10136	BA_0067
BG10137	BA_0068
BG12864	BA_2111
BG10131	BA_0063
BG10132	BA_0064
BG10133	BA_0065
BG10431	BA_1072
BG13290	BA_4204
BG10433	BA_1081
BG10432	BA_1080
BG10439	BA_2068
BG10438	BA_4546
BG13123	BA_3503
BG13148	BA_0731
BG13149	BA_0732
BG13532	BA_4264
BG13140	BA_1210
BG13141	BA_1211
BG13142	BA_1212
BG13143	BA_1213
BG13144	BA_1214
BG13145	BA_1217
BG13146	BA_0699
BG13147	BA_0730
BG13034	BA_0862
BG13035	BA_0861
BG13036	BA_0860
BG13139	BA_1707
BG13138	BA_1209
BG13032	BA_3089
BG13033	BA_0863
BG13135	BA_1205
BG13134	BA_1201
BG13137	BA_1208
BG13136	BA_1206
BG13039	BA_2057
BG13133	BA_1200
BG13062	BA_4144
BG11803	BA_3656
BG10539	BA_2379
BG11801	BA_0803
BG11189	BA_4522
BG11806	BA_3669
BG11804	BA_3657
BG10530	BA_1493
BG10531	BA_1494
BG10532	BA_1495
BG10533	BA_1496
BG10534	BA_1497
BG13459	BA_2548
BG12731	BA_4019
BG10224	BA_4052
BG10225	BA_4051
BG10226	BA_4050
BG10227	BA_4049
BG10220	BA_4056
BG10221	BA_4055
BG10222	BA_4054
BG10223	BA_4053
BG10545	BA_4968
BG10544	BA_1718
BG10541	BA_4416
BG10540	BA_4417
BG10543	BA_1715
BG10542	BA_1716
BG12933	BA_0762
BG13913	BA_4300
BG10944	BA_5558
BG13456	BA_2552
BG12323	BA_4805
BG11516	BA_1048
BG12936	BA_2381
BG10946	BA_4173
BG12937	BA_0386
BG11184	BA_4543
BG10948	BA_0159
BG13452	BA_5683
BG11326	BA_1545
BG14011	BA_5217
BG13981	BA_1864
BG12942	BA_5601
BG12941	BA_0501
BG11549	BA_3774
BG12947	BA_3313
BG12946	BA_2440
BG12945	BA_0900
BG12949	BA_3118
BG12948	BA_5695
BG11302	BA_3198
BG10893	BA_4290
BG10892	BA_4291
BG12838	BA_0320
BG10897	BA_5366
BG10896	BA_5377
BG10895	BA_4288
BG10894	BA_4289
BG11381	BA_5012
BG10899	BA_5364
BG10898	BA_5365
BG11384	BA_4408
BG19011	BA_0114
BG11386	BA_4837
BG11387	BA_4704
BG10804	BA_0550
BG11949	BA_1422
BG11306	BA_5411
BG10802	BA_2879
BG10803	BA_2878
BG14151	BA_5496
BG10809	BA_2064
BG13458	BA_2550
BG12832	BA_3706
BG13910	BA_4852
BG12100	BA_3830
BG11099	BA_3709
BG12708	BA_3181
BG12692	BA_1614
BG12065	BA_1880
BG12066	BA_2887
BG11048	BA_1958
BG12701	BA_0074
BG12837	BA_0637
BG12703	BA_0156
BG12702	BA_0090
BG11043	BA_0133
BG11042	BA_0134
BG11041	BA_0138
BG11040	BA_4526
BG12666	BA_3975
BG11165	BA_1589
BG11167	BA_4777
BG12662	BA_4648
BG12835	BA_0306
BG12660	BA_4157
BG10968	BA_3966
BG10967	BA_3967
BG10966	BA_3968
BG10965	BA_3969
BG10964	BA_2992
BG10963	BA_2993
BG11169	BA_4774
BG12668	BA_4062
BG12669	BA_4650
BG11762	BA_4316
BG12123	BA_3205
BG11760	BA_4321
BG11448	BA_1580
BG12796	BA_0752
BG11767	BA_3422
BG11443	BA_1525
BG11442	BA_1523
BG11441	BA_1522
BG11440	BA_1520
BG11447	BA_1579
BG11446	BA_1578
BG11444	BA_1528
BG12499	BA_0688
BG12213	BA_2120
BG13942	BA_4951
BG10087	BA_0024
BG13945	BA_1354
BG13946	BA_0556
BG10760	BA_0122
BG13948	BA_1980
BG13949	BA_5066
BG10270	BA_3948
BG12495	BA_3344
BG12494	BA_3345
BG12497	BA_4924
BG12496	BA_5508
BG10026	BA_5454
BG10024	BA_3425
BG12210	BA_3537
BG10779	BA_3942
BG10765	BA_4394
BG10083	BA_0019
BG10382	BA_5148
BG10028	BA_2402
BG10756	BA_0118
BG13896	BA_5010
BG10518	BA_4331
BG12312	BA_5689
BG14010	BA_5216
BG12462	BA_5204
BG13894	BA_3074
BG14063	BA_3440
BG12989	BA_1012
BG13895	BA_4949
BG10149	BA_0081
BG10148	BA_0080
BG14133	BA_1457
BG14134	BA_1456
BG14135	BA_1455
BG14136	BA_3755
BG12892	BA_0523
BG10141	BA_0072
BG10140	BA_0071
BG14033	BA_5254
BG10142	BA_0073
BG14035	BA_0190
BG10144	BA_0076
BG10147	BA_0079
BG10139	BA_0070
BG11316	BA_5571
BG11315	BA_0607
BG14146	BA_1118
BG11313	BA_2139
BG14140	BA_1499
BG11311	BA_5590
BG11310	BA_5591
BG12807	BA_5647
BG12805	BA_2421
BG12803	BA_0675
BG11319	BA_5589
BG14044	BA_5188
BG10099	BA_0033
BG10098	BA_0031
BG10092	BA_0027
BG10091	BA_0026
BG10097	BA_0030
BG12862	BA_1838
BG10095	BA_0028
BG10094	BA_1667
BG11793	BA_4032
BG10984	BA_1893
BG14047	BA_5475
BG11792	BA_4034
BG10130	BA_0062
BG11809	BA_3112
BG12305	BA_1385
BG10105	BA_0039
BG11062	BA_5367
BG14042	BA_5192
BG12304	BA_2355
BG11492	BA_3943
BG14043	BA_5189
BG10715	BA_4026
BG13397	BA_4361
BG13536	BA_3641
BG10663	BA_4540
BG13590	BA_1514
BG10252	BA_1662
BG12765	BA_4504
BG10430	BA_1071
BG10258	BA_1660
BG10554	BA_5606
BG12764	BA_4505
BG10552	BA_3186
BG10553	BA_4572
BG10550	BA_1388
BG10551	BA_1389
BG10104	BA_0038
BG11410	BA_4415
BG10594	BA_1321
BG11411	BA_4414
BG13392	BA_3999
BG12769	BA_0401
BG13221	BA_1182
BG11413	BA_4412
BG12684	BA_5435
BG13162	BA_4480
BG11143	BA_5703
BG11416	BA_0150
BG12478	BA_3694
BG11200	BA_5114
BG10773	BA_1193
BG11417	BA_5675
BG10481	BA_4552
BG11601	BA_4427
BG11194	BA_5516
BG10588	BA_4381
BG13507	BA_1215
BG11204	BA_0344
BG12008	BA_2890
BG11129	BA_5090
BG10482	BA_4551
BG11701	BA_4431
BG13130	BA_1187
BG11831	BA_2251
BG10203	BA_4429
BG10338	BA_4702
BG10339	BA_4701
BG10332	BA_4678
BG10333	BA_4676
BG10330	BA_4680
BG10331	BA_4679
BG10336	BA_4673
BG10337	BA_4672
BG10334	BA_4675
BG10335	BA_4674
BG10050	BA_5724
BG11708	BA_4422
BG11361	BA_2839
BG11460	BA_4421
BG12396	BA_5388
BG13304	BA_5726
BG10447	BA_0132
BG13302	BA_4193
BG13303	BA_1413
BG12421	BA_4231
BG12391	BA_5160
BG12525	BA_5565
BG12256	BA_2534
BG12527	BA_5462
BG12526	BA_0357
BG12521	BA_5439
BG12398	BA_5387
BG12250	BA_0179
BG11920	BA_3678
BG13233	BA_2849
BG12329	BA_1603
BG12328	BA_4794
BG11924	BA_5666
BG11925	BA_1943
BG11926	BA_1944
BG11927	BA_1945
BG11928	BA_1946
BG11929	BA_2627
BG13238	BA_4700
BG12320	BA_1309
BG12327	BA_4795
BG12326	BA_4796
BG12325	BA_4797
BG12324	BA_4798
BG10777	BA_3996
BG10734	BA_0991
BG10735	BA_0992
BG10732	BA_0137
BG10733	BA_0990
BG10730	BA_0135
BG10731	BA_0136
BG13375	BA_4038
BG10422	BA_0266
BG10423	BA_0267
BG10789	BA_0524
BG10788	BA_1324
BG10427	BA_1068
BG10424	BA_3834
BG10425	BA_3833
BG10783	BA_3937
BG10782	BA_3938
BG14061	BA_3353
BG10780	BA_3941
BG10787	BA_0858
BG10786	BA_3127
BG10785	BA_3935
BG10784	BA_3936
BG12629	BA_4660
BG13600	BA_4075
BG13041	BA_0852
BG13040	BA_3740
BG11818	BA_4168
BG11819	BA_3252
BG13047	BA_4018
BG13046	BA_1977
BG11814	BA_4188
BG11815	BA_4187
BG11816	BA_4171
BG11817	BA_4170
BG11811	BA_0546
BG11813	BA_4190
BG11955	BA_5529
BG11954	BA_4232
BG11956	BA_1997
BG13373	BA_4040
BG11950	BA_1423
BG11953	BA_5691
BG11952	BA_5692
BG11958	BA_5479
BG11370	BA_2786
BG11300	BA_3123
BG11301	BA_3199
BG14154	BA_0629
BG11303	BA_3197
BG11304	BA_3196
BG13090	BA_1144
BG14099	BA_1443
BG11307	BA_0649
BG12833	BA_0304
BG11309	BA_5592
BG14095	BA_0202
BG13091	BA_1145
BG14093	BA_0205
BG12836	BA_0307
BG14091	BA_1317
BG12834	BA_0305
BG10084	BA_0020
BG10085	BA_0021
BG13372	BA_4041
BG14050	BA_5131
BG10080	BA_3668
BG10081	BA_0016
BG10082	BA_0018
BG13156	BA_1527
BG14057	BA_3655
BG10088	BA_0025
BG13282	BA_4255
BG12350	BA_3926
BG11802	BA_0547
BG14054	BA_1030
BG12176	BA_3040
BG11800	BA_0804
BG13151	BA_0734
BG10302	BA_5075
BG13150	BA_0733
BG12704	BA_0157
BG11577	BA_0155
BG11573	BA_1032
BG11572	BA_5165
BG11571	BA_2744
BG11570	BA_0822
BG13223	BA_1175
BG12177	BA_3041
BG10880	BA_0668
BG10881	BA_0669
BG11579	BA_4812
BG11375	BA_0715
BG11374	BA_3916
BG11377	BA_0717
BG11376	BA_0716
BG11371	BA_2785
BG13322	BA_3893
BG11373	BA_3917
BG11372	BA_2787
BG10499	BA_1234
BG11379	BA_4493
BG11690	BA_4486
BG10874	BA_4804
BG10871	BA_1802
BG10873	BA_3090
BG10872	BA_1803
BG10875	BA_4803
BG11647	BA_0785
BG10877	BA_0665
BG10876	BA_0664
BG10879	BA_0667
BG10878	BA_0666
BG12924	BA_0409
BG13909	BA_5002
BG12950	BA_0925
BG12951	BA_2211
BG11646	BA_4535
BG11659	BA_4520
BG11933	BA_4005
BG13993	BA_1341
BG12724	BA_3066
BG10549	BA_1387
BG10548	BA_1386
BG11837	BA_5700
BG10307	BA_4384
BG10306	BA_4383
BG10305	BA_4382
BG10285	BA_1538
BG13995	BA_3370
BG10301	BA_1800
BG10300	BA_3137
BG14048	BA_5170
BG11495	BA_3946
BG11450	BA_5563
BG11648	BA_4534
BG10013	BA_3379
BG10012	BA_3121
BG10011	BA_5720
BG10010	BA_5719
BG10529	BA_1492
BG10015	BA_1948
BG10014	BA_2826
BG10390	BA_2650
BG10391	BA_5005
BG10528	BA_1491
BG10394	BA_5430
BG10395	BA_5426
BG10229	BA_4047
BG13917	BA_4851
BG10718	BA_4023
BG11963	BA_4006
BG10985	BA_1894
BG12349	BA_3927
BG11103	BA_2210
BG10490	BA_1902
BG12763	BA_2035
BG11100	BA_3710
BG12887	BA_1963
BG10158	BA_0092
BG10159	BA_0093
BG12882	BA_0516
BG12883	BA_0517
BG12881	BA_0515
BG10152	BA_0084
BG10153	BA_0085
BG14020	BA_5228
BG14021	BA_5229
BG10156	BA_0089
BG10157	BA_0091
BG10154	BA_0086
BG10155	BA_0088
BG10794	BA_2236
BG10795	BA_2237
BG10796	BA_1126
BG10797	BA_1094
BG10791	BA_2611
BG10792	BA_0729
BG10710	BA_0298
BG10982	BA_1891
BG10799	BA_1188
BG10711	BA_0299
BG11012	BA_0959
BG12220	BA_2631
BG13754	BA_3003
BG13203	BA_5313
BG13202	BA_5312
BG13200	BA_2936
BG13053	BA_1087
BG11684	BA_4488
BG13051	BA_0897
BG13057	BA_1091
BG13054	BA_1088
BG13055	BA_1089
BG13113	BA_1619
BG13059	BA_2225
BG13117	BA_1167
BG13116	BA_1166
BG13115	BA_4479
BG13114	BA_0697
BG11946	BA_4763
BG11944	BA_4819
BG11945	BA_3164
BG11943	BA_0531
BG10419	BA_5573
BG11941	BA_2222
BG10416	BA_5575
BG10415	BA_5576
BG10414	BA_5578
BG10413	BA_0670
BG10412	BA_5580
BG10411	BA_5581
BG10410	BA_5583
BG10243	BA_1681
BG10569	BA_3730
BG11827	BA_3659
BG10247	BA_1684
BG10830	BA_3983
BG10535	BA_1498
BG10248	BA_1685
BG10249	BA_1686
BG10566	BA_4779
BG10565	BA_4780
BG10564	BA_3208
BG11390	BA_5629
BG12056	BA_1380
BG11826	BA_3665
BG12874	BA_3316
BG10919	BA_4566
BG14046	BA_5173
BG11429	BA_1504
BG12755	BA_1516
BG11587	BA_5649
BG12870	BA_3590
BG10914	BA_4666
BG10716	BA_4025
BG11011	BA_0630
BG13935	BA_4842
BG13934	BA_4901
BG13937	BA_5000
BG13936	BA_4948
BG13548	BA_3296
BG13930	BA_4841
BG13421	BA_3913
BG13420	BA_3914
BG13544	BA_2296
BG13545	BA_2295
BG13546	BA_2294
BG11013	BA_4565
BG13939	BA_4957
BG13541	BA_2303
BG13542	BA_2300
BG13543	BA_2298
BG12015	BA_2052
BG12403	BA_5381
BG12400	BA_5384
BG12016	BA_2051
BG11681	BA_4489
BG12010	BA_0363
BG12013	BA_1246
BG12405	BA_4671
BG10384	BA_1767
BG12408	BA_4668
BG12409	BA_5135
BG11689	BA_5255
BG10636	BA_5635
BG10635	BA_5406
BG10634	BA_5636
BG10633	BA_5637
BG12124	BA_0311
BG12088	BA_0249
BG12089	BA_0250
BG12086	BA_1054
BG12087	BA_1066
BG12084	BA_0246
BG12085	BA_0247
BG11612	BA_2163
BG12083	BA_2311
BG10639	BA_5627
BG11611	BA_0511
BG11331	BA_4309
BG13838	BA_4736
BG11330	BA_4308
BG13834	BA_4896
BG13835	BA_4894
BG13837	BA_4893
BG13831	BA_5311
BG13832	BA_4825
BG13833	BA_4824
BG13729	BA_2733
BG13163	BA_4481
BG14041	BA_5194
BG12561	BA_2773
BG12211	BA_2122
BG13726	BA_5344
BG13298	BA_3596
BG12249	BA_0178
BG13337	BA_4169
BG13335	BA_4189
BG13334	BA_4197
BG12240	BA_1157
BG12242	BA_1196
BG12303	BA_1721
BG12532	BA_2165
BG12533	BA_1855
BG12247	BA_5281
BG12334	BA_4713
BG13193	BA_2047
BG12330	BA_4762
BG12331	BA_4761
BG12333	BA_4714
BG12560	BA_2774
BG12234	BA_0687
BG12237	BA_2880
BG12236	BA_0545
BG12338	BA_4706
BG12339	BA_4965
BG13299	BA_3595
BG12232	BA_2922
BG10703	BA_0291
BG10702	BA_0290
BG10701	BA_0289
BG10700	BA_0288
BG10707	BA_0295
BG10706	BA_0293
BG10705	BA_0294
BG10704	BA_0292
BG10709	BA_0297
BG10708	BA_0296
BG11409	BA_0126
BG10365	BA_1658
BG10364	BA_4832
BG10367	BA_4918
BG10366	BA_1659
BG10361	BA_4821
BG13195	BA_2632
BG10363	BA_4833
BG10362	BA_4820
BG12598	BA_1427
BG10369	BA_4916
BG12080	BA_3105
BG10511	BA_4284
BG13979	BA_1470
BG12562	BA_2267
BG11024	BA_5424
BG12599	BA_1426
BG11520	BA_1563
BG14017	BA_5225
BG10166	BA_3869
BG14015	BA_5222
BG10164	BA_0098
BG10163	BA_0097
BG14012	BA_2829
BG10161	BA_0095
BG10160	BA_0094
BG10004	BA_5717
BG10006	BA_4392
BG10001	BA_5715
BG10002	BA_5716
BG14018	BA_5226
BG12824	BA_0541
BG12825	BA_4989
BG12826	BA_0333
BG11989	BA_0140
BG14164	BA_5632
BG14081	BA_4710
BG11906	BA_0348
BG14083	BA_5483
BG14084	BA_1597
BG12829	BA_3032
BG14087	BA_1916
BG13971	BA_4325
BG12661	BA_4843
BG13100	BA_1989
BG13268	BA_1322
BG11388	BA_1503
BG11389	BA_3534
BG10309	BA_4398
BG12021	BA_1760
BG13900	BA_5009
BG10308	BA_4399
BG19019	BA_4607
BG10574	BA_3383
BG10576	BA_1918
BG10577	BA_1635
BG10479	BA_4554
BG10478	BA_3677
BG10572	BA_0377
BG13376	BA_4037
BG10477	BA_4525
BG13179	BA_3075
BG10578	BA_1634
BG10470	BA_3729
BG10472	BA_0867
BG13374	BA_4039
BG11408	BA_0125
BG13069	BA_0708
BG13067	BA_0365
BG13066	BA_5673
BG13065	BA_3689
BG13064	BA_3688
BG12566	BA_4953
BG19016	BA_5380
BG12595	BA_1450
BG10408	BA_5521
BG13227	BA_5261
BG11383	BA_4409
BG10409	BA_5584
BG19010	BA_3945
BG11385	BA_0345
BG12913	BA_4306
BG13902	BA_4854
BG10279	BA_1533
BG10277	BA_1532
BG10276	BA_1531
BG10275	BA_1530
BG10274	BA_1529
BG10273	BA_1269
BG10272	BA_1270
BG10271	BA_3947
